trip_id,direction,trip_short_name,Wien Hbf,Wien Meidling Bahnhof,Tullnerfeld Bahnhof,St.Pölten Hbf,Amstetten NÖ Bahnhof,St.Valentin Bahnhof,Linz/Donau Hbf,Wels Hbf,Attnang-Puchheim Bahnhof,Vöcklabruck Bahnhof,Neumarkt-Köstendorf Bahnhof,Salzburg Süd Bahnhof,Salzburg Hbf,Kufstein Bahnhof,Wörgl Hbf,Jenbach Bahnhof,Innsbruck Hbf
46,1,RJX 184,14:30:00,14:25:00,-,14:02:00,-,-,13:16:00,-,-,-,-,-,12:08:00,10:53:00,10:43:00,-,10:17:00
53,0,RJX 185,15:30:00,15:37:00,-,16:00:00,-,-,16:46:00,-,-,-,-,-,17:56:00,19:09:00,19:19:00,-,20:04:00
118,0,EN 40462,23:26:00,23:34:00,-,24:01:00,-,-,25:00:00,25:15:00,-,-,-,-,26:30:00,-,-,-,29:52:00
226,0,NJ 446,22:55:00,23:03:00,23:23:00,23:41:00,24:10:00,24:30:00,24:46:00,25:01:00,25:18:00,25:24:00,-,-,27:06:00,-,-,-,29:23:00
227,0,NJ 446,22:55:00,23:03:00,23:23:00,23:41:00,24:10:00,24:30:00,24:46:00,25:01:00,25:18:00,25:24:00,-,26:13:00,-,-,-,-,29:23:00
228,1,NJ 447,30:58:00,30:49:00,30:27:00,30:09:00,29:27:00,29:04:00,28:47:00,28:27:00,28:08:00,28:02:00,-,-,27:21:00,-,-,-,24:44:00
229,1,NJ 447,31:22:00,31:12:00,30:55:00,30:38:00,29:56:00,29:36:00,29:18:00,28:52:00,28:35:00,28:29:00,-,27:41:00,-,-,-,-,24:44:00
110,0,NJ 466,21:27:00,21:35:00,-,22:02:00,22:29:00,-,22:58:00,23:16:00,23:34:00,-,-,-,26:30:00,-,-,-,29:52:00
220,0,RJX 560,07:30:00,07:37:00,-,08:00:00,-,-,08:46:00,-,-,-,-,-,09:56:00,11:09:00,11:19:00,-,-
244,0,RJX 562,09:30:00,09:37:00,-,10:00:00,-,-,10:46:00,-,-,-,-,-,11:56:00,13:09:00,13:19:00,-,13:48:00
4,1,RJX 563,16:40:00,16:25:00,-,16:02:00,-,-,15:16:00,-,-,-,-,-,14:08:00,12:53:00,12:43:00,-,12:17:00
6,0,RJX 564,11:30:00,11:37:00,-,12:00:00,-,-,12:46:00,-,-,-,-,-,13:56:00,15:09:00,15:19:00,-,15:44:00
18,1,RJX 565,18:40:00,18:25:00,-,18:02:00,-,-,17:16:00,-,-,-,-,-,16:08:00,14:53:00,14:43:00,-,14:17:00
19,1,RJX 565,18:40:00,18:25:00,-,18:02:00,-,-,17:16:00,-,-,-,-,-,16:08:00,14:53:00,14:43:00,-,14:17:00
34,0,RJX 566,13:30:00,13:37:00,-,14:00:00,-,-,14:46:00,-,-,-,-,-,15:56:00,17:09:00,17:19:00,-,17:48:00
50,1,RJX 567,20:40:00,20:25:00,-,20:02:00,-,-,19:16:00,-,-,-,-,-,18:08:00,16:53:00,16:43:00,-,16:17:00
51,1,RJX 567,20:40:00,20:25:00,-,20:02:00,-,-,19:16:00,-,-,-,-,-,18:08:00,16:53:00,16:43:00,-,16:17:00
83,0,RJX 660,06:30:00,06:37:00,-,07:00:00,-,-,07:46:00,-,-,-,-,-,08:56:00,-,10:15:00,10:29:00,10:48:00
90,1,RJX 661,21:30:00,21:25:00,-,21:02:00,-,-,20:16:00,-,-,-,-,-,19:08:00,-,17:45:00,17:31:00,17:14:00
101,0,RJ 662,07:55:00,08:02:00,08:16:00,08:30:00,09:02:00,09:17:00,09:32:00,09:46:00,10:00:00,10:06:00,10:31:00,-,10:56:00,-,12:15:00,12:29:00,12:48:00
106,1,RJX 663,23:30:00,23:25:00,-,23:02:00,-,-,22:16:00,-,-,-,-,-,21:08:00,-,19:45:00,19:31:00,19:14:00
189,0,RJX 760,17:30:00,17:37:00,-,18:00:00,-,-,18:46:00,-,-,-,-,-,19:56:00,21:09:00,21:19:00,-,21:48:00
195,0,RJX 762,19:30:00,19:37:00,-,20:00:00,-,-,20:46:00,-,-,-,-,-,21:56:00,23:09:00,23:19:00,23:33:00,23:48:00
196,1,RJX 763,10:40:00,10:25:00,-,10:02:00,-,-,09:16:00,-,-,-,-,-,08:08:00,06:51:00,06:41:00,06:27:00,06:10:00
199,1,RJX 765,12:42:00,12:25:00,-,12:02:00,-,-,11:16:00,-,-,-,-,-,10:08:00,08:53:00,08:43:00,-,08:17:00
201,1,RJ 769,22:12:00,22:00:00,21:45:00,21:32:00,21:00:00,20:43:00,20:30:00,20:16:00,20:00:00,19:54:00,19:30:00,-,19:12:00,-,17:45:00,17:31:00,17:14:00
24,0,RJX 860,10:30:00,10:37:00,-,11:00:00,-,-,11:46:00,-,-,-,-,-,12:56:00,-,14:15:00,14:29:00,14:48:00
25,1,RJX 861,11:42:00,11:25:00,-,11:02:00,-,-,10:16:00,-,-,-,-,-,09:08:00,-,07:45:00,07:30:00,07:13:00
26,0,RJX 862,12:30:00,12:37:00,-,13:00:00,-,-,13:46:00,-,-,-,-,-,14:56:00,-,16:15:00,16:29:00,16:48:00
27,1,RJX 863,13:42:00,13:25:00,-,13:02:00,-,-,12:16:00,-,-,-,-,-,11:08:00,-,09:45:00,09:31:00,09:14:00
28,0,RJX 864,14:30:00,14:37:00,-,15:00:00,-,-,15:46:00,-,-,-,-,-,16:56:00,-,18:15:00,18:29:00,18:48:00
29,1,RJ 865,16:05:00,16:00:00,15:45:00,15:32:00,15:00:00,14:43:00,14:30:00,14:16:00,14:00:00,13:54:00,13:30:00,-,13:12:00,-,11:45:00,11:31:00,11:14:00
30,0,RJX 866,16:30:00,16:37:00,-,17:00:00,-,-,17:46:00,-,-,-,-,-,19:00:00,-,20:19:00,20:33:00,20:51:00
31,1,RJX 867,17:42:00,17:25:00,-,17:02:00,-,-,16:16:00,-,-,-,-,-,15:08:00,-,13:45:00,13:31:00,13:14:00
32,0,RJX 868,18:30:00,18:37:00,-,19:00:00,-,-,19:46:00,-,-,-,-,-,20:56:00,22:09:00,22:19:00,22:33:00,22:48:00
33,1,RJX 869,19:40:00,19:25:00,-,19:02:00,-,-,18:16:00,-,-,-,-,-,17:08:00,-,15:45:00,15:31:00,15:14:00
238,0,RJX 160,07:30:00,07:37:00,-,08:00:00,-,-,08:46:00,-,-,-,-,-,09:56:00,11:09:00,11:19:00,-,11:48:00
239,0,RJX 160,07:30:00,07:37:00,-,08:00:00,-,-,08:46:00,-,-,-,-,-,09:56:00,11:09:00,11:19:00,-,11:48:00
240,1,RJX 161,14:40:00,14:25:00,-,14:02:00,-,-,13:16:00,-,-,-,-,-,12:08:00,10:53:00,10:43:00,-,10:17:00
241,1,RJX 161,14:40:00,14:25:00,-,14:02:00,-,-,13:16:00,-,-,-,-,-,12:08:00,10:53:00,10:43:00,-,10:17:00
242,0,RJX 162,09:30:00,09:37:00,-,10:00:00,-,-,10:46:00,-,-,-,-,-,11:56:00,13:09:00,13:19:00,-,13:48:00
243,0,RJX 162,09:30:00,09:37:00,-,10:00:00,-,-,10:46:00,-,-,-,-,-,11:56:00,13:09:00,13:19:00,-,13:48:00
248,1,RJX 165,18:42:00,18:25:00,-,18:02:00,-,-,17:16:00,-,-,-,-,-,16:08:00,14:53:00,14:43:00,-,14:17:00
249,1,RJX 165,18:42:00,18:25:00,-,18:02:00,-,-,17:16:00,-,-,-,-,-,16:08:00,14:53:00,14:43:00,-,14:17:00
250,0,RJX 166,13:30:00,13:37:00,-,14:00:00,-,-,14:46:00,-,-,-,-,-,15:56:00,17:09:00,17:19:00,-,17:48:00
251,0,RJX 166,13:30:00,13:37:00,-,14:00:00,-,-,14:46:00,-,-,-,-,-,15:56:00,17:09:00,17:19:00,-,17:48:00
252,1,RJX 167,20:42:00,20:25:00,-,20:02:00,-,-,19:16:00,-,-,-,-,-,18:08:00,16:53:00,16:43:00,-,16:17:00
253,1,RJX 167,20:42:00,20:25:00,-,20:02:00,-,-,19:16:00,-,-,-,-,-,18:08:00,16:53:00,16:43:00,-,16:17:00
254,0,RJX 168,15:30:00,15:37:00,-,16:00:00,-,-,16:46:00,-,-,-,-,-,17:56:00,19:09:00,19:19:00,-,19:48:00
255,0,RJX 168,15:30:00,15:37:00,-,16:00:00,-,-,16:46:00,-,-,-,-,-,17:56:00,19:09:00,19:19:00,-,19:48:00
0,1,RJX 169,22:30:00,22:25:00,-,22:02:00,-,-,21:16:00,-,-,-,-,-,20:08:00,18:53:00,18:43:00,-,18:17:00
1,1,RJX 169,22:30:00,22:25:00,-,22:02:00,-,-,21:16:00,-,-,-,-,-,20:08:00,18:53:00,18:43:00,-,18:17:00
99,1,RJX 269,09:42:00,09:25:00,-,09:02:00,-,-,08:16:00,-,-,-,-,-,07:08:00,05:51:00,05:41:00,05:27:00,05:10:00
131,1,RJX 367,24:33:00,24:28:00,-,24:05:00,-,-,23:19:00,23:05:00,-,-,-,-,22:08:00,20:53:00,20:43:00,-,20:17:00
132,1,RJX 367,24:33:00,24:28:00,-,24:05:00,-,-,23:19:00,23:05:00,-,-,-,-,22:08:00,20:53:00,20:43:00,-,20:17:00
133,0,RJX 368,05:30:00,05:37:00,-,06:00:00,-,-,06:46:00,07:00:00,-,-,-,-,07:56:00,09:09:00,09:19:00,-,09:48:00
134,0,RJX 368,05:30:00,05:37:00,-,06:00:00,-,-,06:46:00,07:00:00,-,-,-,-,07:56:00,09:09:00,09:19:00,-,09:48:00
179,0,EN 40462,23:26:00,23:34:00,-,24:01:00,-,-,25:00:00,25:15:00,-,-,-,-,26:30:00,-,-,-,28:31:00
183,1,EN 40467,30:40:00,30:29:00,-,30:02:00,-,-,29:10:00,-,-,-,-,-,27:50:00,-,-,-,25:28:00
184,1,EN 40467,31:52:00,31:46:00,-,31:10:00,-,-,30:15:00,-,-,-,-,-,28:47:00,-,-,-,25:28:00
16,0,NJ 466,21:27:00,21:35:00,-,22:02:00,22:29:00,-,22:58:00,23:16:00,23:34:00,-,-,-,26:30:00,-,-,-,28:31:00
17,0,NJ 466,21:27:00,21:35:00,-,22:02:00,22:29:00,-,22:58:00,23:16:00,23:34:00,-,-,-,26:30:00,-,-,-,28:31:00
18,1,NJ 467,31:55:00,31:49:00,-,31:12:00,30:43:00,-,30:15:00,29:43:00,29:25:00,-,-,-,28:36:00,-,-,-,25:28:00
19,1,NJ 467,31:55:00,31:49:00,-,31:12:00,30:43:00,-,30:15:00,29:43:00,29:25:00,-,-,-,28:36:00,-,-,-,25:28:00
20,1,NJ 467,32:00:00,31:55:00,-,31:21:00,30:55:00,-,30:26:00,30:00:00,29:41:00,-,-,-,28:55:00,-,-,-,25:28:00
